Wall time,Step,Value
1775657886.8175232,7004816,556.4500122070312
1775657972.3292823,7009632,562.4600219726562
1775658040.437773,7014448,572.1799926757812
1775658106.245114,7019264,572.1799926757812
1775658159.9293776,7024080,574.6699829101562
1775658183.9831548,7026544,569.9099731445312
1775658209.4027567,7028896,569.9099731445312
1775658233.3530915,7031360,575.3400268554688
1775658256.2452238,7033712,578.780029296875
1775658281.8077576,7036176,578.780029296875
1775658305.5900316,7038528,584.7899780273438
1775658315.1339083,7039536,579.3400268554688
1775658355.1044948,7043344,582.8300170898438
1775658368.5573368,7044352,582.8300170898438
1775658413.4436982,7048160,582.8300170898438
1775658422.768307,7049168,582.8300170898438
1775658460.8685489,7052976,582.8300170898438
1775658470.153755,7053984,582.8300170898438
1775658507.5946746,7057792,582.8300170898438
1775658511.9668972,7058248,576.8200073242188
1775658539.9854643,7061168,568.989990234375
1775658553.05392,7062608,568.989990234375
1775658584.351158,7065984,568.02001953125
1775658597.5618892,7067424,568.02001953125
1775658628.3626409,7070800,568.02001953125
1775658641.5748322,7072240,568.02001953125
1775658672.6008253,7075616,568.02001953125
1775658685.815686,7077056,568.02001953125
1775658716.654329,7080432,576.97998046875
1775658729.9370792,7081872,576.97998046875
1775658760.858763,7085248,581.739990234375
1775658773.9335144,7086688,581.739990234375
1775658804.6892462,7090064,581.739990234375
1775658817.8891904,7091504,581.739990234375
1775658848.7819352,7094880,581.739990234375
1775658862.5720332,7096320,581.739990234375
1775658896.0398755,7099696,587.1900024414062
1775658910.8462136,7101136,587.1900024414062
1775658935.3946736,7103600,581.1799926757812
1775658958.7853298,7105952,581.1799926757812
1775658989.014667,7108416,581.1799926757812
1775659013.3293717,7110768,581.1799926757812
1775659037.3929942,7113232,581.1799926757812
1775659060.9403808,7115584,581.1799926757812
1775659068.3899958,7116208,583.75
1775659114.4050083,7120400,591.5800170898438
1775659121.9790366,7121024,591.5800170898438
1775659167.5884838,7125216,592.5499877929688
1775659173.4561713,7125840,592.5499877929688
1775659214.8455384,7130032,592.5499877929688
1775659220.8768523,7130656,592.5499877929688
1775659260.569276,7134848,592.5499877929688
1775659266.32229,7135472,592.5499877929688
1775659305.9184496,7139664,592.5499877929688
1775659311.7627413,7140288,592.5499877929688
1775659350.977888,7144480,592.5499877929688
1775659356.6208858,7145104,592.5499877929688
1775659395.8561406,7149296,587.489990234375
1775659402.2722325,7149920,587.489990234375
1775659446.056693,7154112,587.489990234375
1775659452.4540293,7154736,587.489990234375
1775659496.2489026,7158928,583.3800048828125
1775659500.7634125,7159384,583.3800048828125
1775659542.9632106,7163744,589.3900146484375
1775659547.375212,7164200,589.3900146484375
1775659589.9392023,7168560,589.3900146484375
1775659594.7339041,7169016,589.3900146484375
1775659639.7251437,7173376,589.3900146484375
1775659644.1807396,7173832,589.3900146484375
1775659688.9547765,7178192,592.8300170898438
1775659694.2090502,7178648,592.8300170898438
1775659722.0875177,7181344,590.75
1775659744.7399406,7183464,590.75
1775659773.4662437,7186160,590.75
1775659794.9109275,7188280,590.75
1775659822.1004407,7190976,590.75
1775659841.1194575,7192872,587.4600219726562
1775659871.093923,7195792,587.4600219726562
1775659890.2255325,7197688,587.4600219726562
1775659920.3836265,7200608,587.4600219726562
1775659939.5698042,7202504,587.4600219726562
1775659969.3130271,7205424,587.4600219726562
1775659988.964243,7207320,592.52001953125
1775660018.5082047,7210240,592.52001953125
1775660037.503665,7212136,592.52001953125
1775660066.8581128,7215056,592.52001953125
1775660086.0892565,7216952,596.6300048828125
1775660115.8122935,7219872,596.6300048828125
1775660134.8227818,7221768,596.6300048828125
1775660164.359563,7224688,596.6300048828125
1775660183.6117735,7226584,596.6300048828125
1775660213.6456625,7229504,596.6300048828125
1775660232.6280668,7231400,596.6300048828125
1775660253.3405046,7233464,592.1099853515625
1775660278.8466733,7235992,592.1099853515625
1775660302.3703208,7238280,592.1099853515625
1775660328.4958034,7240808,594.1900024414062
1775660351.7242565,7243096,594.1900024414062
1775660377.2599607,7245616,589.6900024414062
1775660394.3721561,7247272,589.6900024414062
1775660426.8535776,7250432,589.6900024414062
1775660443.4625015,7252088,592.97998046875
1775660475.4890633,7255248,592.97998046875
1775660492.1380146,7256904,592.97998046875
1775660524.6835375,7260064,592.97998046875
1775660541.5958474,7261720,592.97998046875
1775660573.3069968,7264880,592.97998046875
1775660590.036625,7266536,592.97998046875
1775660622.2048218,7269696,592.97998046875
1775660636.9954538,7271136,587.97998046875
1775660669.4584737,7274344,587.97998046875
1775660685.7952702,7275952,587.97998046875
1775660718.4523578,7279160,587.97998046875
1775660735.0905256,7280768,587.97998046875
1775660756.2794366,7282840,583.5800170898438
1775660769.6056533,7284152,578.1300048828125
1775660801.220811,7287296,574.530029296875
1775660818.1587691,7288968,574.530029296875
1775660832.7936008,7290400,573.0399780273438
1775660866.8691916,7293776,573.0399780273438
1775660881.4997506,7295216,573.0399780273438
1775660917.357744,7298592,573.0399780273438
1775660933.3070128,7300032,573.0399780273438
1775660968.8048878,7303240,571.530029296875
1775660972.9366045,7303648,571.530029296875
1775661017.4990306,7308056,571.530029296875
1775661021.5968187,7308464,571.530029296875
1775661066.8438733,7312872,571.530029296875
1775661070.920172,7313280,571.530029296875
1775661115.9855762,7317688,571.530029296875
1775661120.1203117,7318096,571.530029296875
1775661165.2834394,7322504,571.530029296875
1775661169.4853103,7322912,571.530029296875
1775661213.980501,7327320,571.530029296875
1775661218.0525498,7327728,576.530029296875
1775661262.400128,7332136,576.530029296875
1775661266.518258,7332544,576.530029296875
1775661311.4963646,7336952,576.530029296875
1775661315.5571804,7337360,576.530029296875
1775661359.7298012,7341768,580.9299926757812
1775661363.8556347,7342176,586.3800048828125
1775661408.8340163,7346584,589.97998046875
1775661413.0389264,7346992,589.97998046875
1775661450.824864,7350720,591.52001953125
1775661460.0141482,7351640,590.97998046875
1775661499.8182135,7355536,590.97998046875
1775661509.2856069,7356456,590.97998046875
1775661548.722962,7360352,590.97998046875
1775661557.8550282,7361272,596.989990234375
1775661596.792812,7365168,596.989990234375
1775661606.1734285,7366088,596.989990234375
1775661646.092284,7369984,596.989990234375
1775661655.4098513,7370904,596.989990234375
1775661695.0834048,7374800,596.989990234375
1775661704.3304403,7375720,596.989990234375
1775661744.2845507,7379616,596.989990234375
1775661753.6629379,7380536,596.989990234375
1775661792.6739366,7384432,596.989990234375
1775661801.9503386,7385352,596.989990234375
1775661833.0565746,7388432,593.0499877929688
1775661847.916493,7389928,587.6300048828125
1775661876.7182226,7392784,587.6300048828125
1775661896.3716714,7394744,587.6300048828125
1775661925.1754878,7397600,587.6300048828125
1775661944.925394,7399560,587.6300048828125
1775661974.2839043,7402416,587.6300048828125
1775661992.0470934,7404176,585.969970703125
1775662022.640915,7407232,585.969970703125
1775662040.5920312,7408992,590.4400024414062
1775662071.5733232,7412048,590.97998046875
1775662089.3790214,7413808,590.97998046875
1775662118.3186817,7416864,590.97998046875
1775662134.6092906,7418624,590.97998046875
1775662173.4346313,7421680,590.97998046875
1775662190.5663786,7423440,590.97998046875
1775662234.9497046,7426496,590.97998046875
1775662261.550009,7428256,590.97998046875
1775662300.8741512,7431312,590.97998046875
1775662317.2856576,7433072,590.97998046875
1775662347.3346415,7436128,590.97998046875
1775662367.3271413,7437888,590.97998046875
1775662401.5461488,7440944,590.97998046875
1775662420.4579666,7442704,590.97998046875
1775662453.891059,7445760,590.97998046875
1775662473.1850185,7447464,589.8099975585938
1775662495.2919807,7449624,595.22998046875
1775662523.7439115,7452280,595.22998046875
1775662543.9847987,7454440,595.22998046875
1775662565.6547835,7456432,592.4000244140625
1775662597.1369386,7459256,592.4000244140625
1775662619.3302705,7461248,592.4000244140625
1775662650.400369,7464072,594.0599975585938
1775662673.1436975,7466064,594.0599975585938
1775662703.2930586,7468888,594.0599975585938
1775662724.8508222,7470880,594.0599975585938
1775662755.8364792,7473704,594.0599975585938
1775662776.611556,7475696,594.0599975585938
1775662807.4380534,7478520,594.0599975585938
1775662827.5705557,7480512,594.0599975585938
1775662855.7464433,7483336,594.0599975585938
1775662874.3279426,7485328,594.0599975585938
1775662900.6786993,7488152,594.0599975585938
1775662919.435496,7490144,594.0599975585938
1775662946.6275291,7492968,594.0599975585938
1775662965.472831,7494960,594.0599975585938
1775662978.4632027,7496344,588.9400024414062
1775663007.7734475,7499208,582.9299926757812
1775663021.5197847,7500496,578.2999877929688
1775663058.5474074,7504024,578.2999877929688
1775663072.6513948,7505312,583.4099731445312
1775663109.2114887,7508840,583.4099731445312
1775663115.4183269,7509408,578.0499877929688
1775663130.7238863,7510792,572.6699829101562
1775663166.0022,7514184,575.5
1775663182.5462089,7515608,575.5
1775663219.2490897,7519000,575.5
1775663233.5830514,7520424,575.5
1775663269.0534592,7523816,575.5
1775663284.545629,7525240,575.5
1775663318.9770806,7528632,575.5
1775663334.308898,7530056,575.5
1775663377.0714626,7533448,571.6300048828125
1775663392.9830909,7534872,570.530029296875
1775663432.8467698,7538264,570.530029296875
1775663450.9033575,7539688,570.530029296875
1775663492.2726603,7543080,570.530029296875
1775663501.5687654,7543840,569.2999877929688
1775663542.6566622,7547896,569.2999877929688
1775663549.9301622,7548656,569.2999877929688
1775663593.9460456,7552712,569.2999877929688
1775663602.3428807,7553472,574.4199829101562
1775663646.2491214,7557528,580.4299926757812
1775663654.0922928,7558288,585.0599975585938
1775663692.0173986,7562072,581.6400146484375
1775663700.399644,7562896,581.6400146484375
1775663742.013202,7566888,581.6400146484375
1775663750.4120102,7567712,587.0
1775663785.6457686,7570936,585.5499877929688
1775663801.1666381,7572528,585.5499877929688
1775663833.5836685,7575752,585.5499877929688
1775663850.1845434,7577344,585.5499877929688
1775663888.5238752,7580568,585.5499877929688
1775663899.7671397,7581608,574.75
1775663907.7482178,7582368,574.75
1775663949.351229,7586424,574.75
1775663958.0063396,7587184,574.75
1775664003.799711,7591240,578.6199951171875
1775664012.9865165,7592000,579.719970703125
1775664053.8064094,7596056,579.719970703125
1775664060.8597353,7596816,579.719970703125
1775664101.0862,7600824,575.0900268554688
1775664108.9529989,7601632,576.3200073242188
1775664149.8451443,7605640,576.3200073242188
1775664158.1228635,7606448,576.3200073242188
1775664201.1264627,7610456,576.3200073242188
1775664208.6584601,7611264,576.3200073242188
1775664246.0786905,7615272,576.3200073242188
1775664253.479787,7616080,576.3200073242188
1775664290.675991,7620088,579.739990234375
1775664298.2220826,7620896,579.739990234375
1775664335.685193,7624904,579.739990234375
1775664343.2532299,7625712,579.739990234375
1775664380.4281597,7629720,586.5700073242188
1775664387.9567406,7630528,586.5700073242188
1775664425.1334023,7634536,586.5700073242188
1775664432.497323,7635344,586.5700073242188
1775664469.8058918,7639352,586.5700073242188
1775664477.2908103,7640160,597.3699951171875
1775664514.485794,7644168,597.3699951171875
1775664521.9730768,7644976,597.3699951171875
1775664559.5186281,7648984,597.3699951171875
1775664567.1119535,7649792,597.3699951171875
1775664605.7906241,7653800,597.3699951171875
1775664613.9864652,7654608,597.3699951171875
1775664651.1129985,7658616,597.3699951171875
1775664659.1961567,7659424,602.0
1775664698.5818226,7663432,602.0
1775664706.7145376,7664240,602.0
1775664748.9823177,7668248,602.0
