Wall time,Step,Value
1775657886.817565,7004816,150.8334197998047
1775657972.3293657,7009632,156.81637573242188
1775658040.4378107,7014448,163.00758361816406
1775658106.2451496,7019264,137.35235595703125
1775658159.9294157,7024080,164.1870574951172
1775658183.9832206,7026544,168.4357452392578
1775658209.4027998,7028896,169.35214233398438
1775658233.3531637,7031360,171.27001953125
1775658256.245266,7033712,166.10891723632812
1775658281.807802,7036176,168.35426330566406
1775658305.5900934,7038528,177.48190307617188
1775658315.1341238,7039536,173.17953491210938
1775658355.104589,7043344,181.25277709960938
1775658368.5574186,7044352,166.0994873046875
1775658413.4437368,7048160,164.95040893554688
1775658422.7683494,7049168,169.1626434326172
1775658460.868588,7052976,171.94956970214844
1775658470.1538336,7053984,176.07095336914062
1775658507.5947125,7057792,177.74403381347656
1775658511.966962,7058248,173.6240234375
1775658539.9855335,7061168,166.964599609375
1775658553.0539582,7062608,172.66122436523438
1775658584.3512292,7065984,169.19119262695312
1775658597.561955,7067424,168.28456115722656
1775658628.3627055,7070800,161.12391662597656
1775658641.574884,7072240,162.9157257080078
1775658672.6008735,7075616,157.0441131591797
1775658685.8157234,7077056,180.02560424804688
1775658716.654399,7080432,177.4875946044922
1775658729.9371479,7081872,173.02774047851562
1775658760.8588326,7085248,179.51864624023438
1775658773.9335804,7086688,180.3249053955078
1775658804.6893167,7090064,182.6826629638672
1775658817.8892598,7091504,193.87681579589844
1775658848.781999,7094880,192.5141143798828
1775658862.5720737,7096320,191.6525115966797
1775658896.0399215,7099696,195.95228576660156
1775658910.8462896,7101136,193.30787658691406
1775658935.3947427,7103600,208.0162353515625
1775658958.7853727,7105952,203.6787109375
1775658989.0147192,7108416,189.04898071289062
1775659013.329418,7110768,192.74917602539062
1775659037.393034,7113232,169.38809204101562
1775659060.9404576,7115584,171.57550048828125
1775659068.3900642,7116208,172.38584899902344
1775659114.4050493,7120400,180.83499145507812
1775659121.979289,7121024,183.36488342285156
1775659167.5885568,7125216,189.46432495117188
1775659173.4562414,7125840,184.2359619140625
1775659214.8455822,7130032,190.504638671875
